Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1961,1961,ha,3890605,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1962,1962,ha,4262540,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1963,1963,ha,4247015,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1964,1964,ha,4143000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1965,1965,ha,4260000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1966,1966,ha,4191000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1967,1967,ha,4263000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1968,1968,ha,3966000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1969,1969,ha,3770000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1970,1970,ha,3756700,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1971,1971,ha,3655600,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1972,1972,ha,3587500,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1973,1973,ha,3152700,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1974,1974,ha,3164400,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1975,1975,ha,2661200,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1976,1976,ha,2772100,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1977,1977,ha,2715000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1978,1978,ha,2751947,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1979,1979,ha,2551000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1980,1980,ha,2698700,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1981,1981,ha,2635400,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1982,1982,ha,2662000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1983,1983,ha,2603600,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1984,1984,ha,2305700,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1985,1985,ha,2043285,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1986,1986,ha,2114000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1987,1987,ha,2221000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1988,1988,ha,2338800,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1989,1989,ha,2317300,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1990,1990,ha,2006600,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1991,1991,ha,2223400,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1992,1992,ha,2243100,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1993,1993,ha,2030479,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1994,1994,ha,1969650,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1995,1995,ha,2126400,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1996,1996,ha,2012400,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1997,1997,ha,2078550,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1998,1998,ha,1912560,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,1999,1999,ha,2422400,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2000,2000,ha,2353027,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2001,2001,ha,2177005,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2002,2002,ha,2406643,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2003,2003,ha,2151500,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2004,2004,ha,2175028,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2005,2005,ha,2274109,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2006,2006,ha,1920233,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2007,2007,ha,1803313,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2008,2008,ha,2067000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2009,2009,ha,1772752,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2010,2010,ha,1948073,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2011,2011,ha,1994653,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2012,2012,ha,2188171,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2013,2013,ha,2125000,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2014,2014,ha,2171200,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2015,2015,ha,2176354,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2016,2016,ha,2256848,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2017,2017,ha,2096058,,Official data
QC,Crops,203,Spain,5312,Area harvested,15,Wheat,2018,2018,ha,2063683,,Official data
